site,tortid,sex,status,year,quarter,date,cohab_count,logistic_count,temperature,rainfall,local_tort_density,local_burrow_density,survey_rate
BSV,214,F,R,1999,2,1999-04-12,0,0,61.3,1.42,0,1,0.509090909090909
BSV,214,F,R,1997,2,1997-04-28,0,0,65.3,0.14,0,2,0.10857142857142857
BSV,214,F,R,1998,2,1998-03-16,0,0,56.8,0.63,1,5,0.3968253968253968
BSV,214,F,R,1998,1,1998-11-02,4,1,52.7,0.07,5,4,0.46825396825396826
BSV,214,F,R,1997,1,1997-11-04,0,0,55.0,0.21,1,4,0.14285714285714285
BSV,214,F,R,1998,1,1999-01-13,2,1,49.5,0.07,3,4,0.3181818181818182
BSV,214,F,R,1999,2,1999-06-22,0,0,84.0,0.22,0,2,0.21818181818181817
BSV,214,F,R,1998,1,1999-02-05,1,1,52.5,0.11,4,5,0.33636363636363636
BSV,214,F,R,1997,2,1997-06-30,0,0,84.2,0.0,0,3,0.13142857142857142
BSV,214,F,R,1998,2,1998-06-10,0,0,79.5,0.0,0,5,0.30158730158730157
BSV,214,F,R,1999,2,1999-03-18,0,0,61.0,0.0,2,5,0.5181818181818182
BSV,214,F,R,1999,3,1999-10-04,0,0,70.2,0.0,0,2,0.06363636363636363
BSV,214,F,R,1997,2,1997-06-09,0,0,84.2,0.0,0,1,0.18857142857142858
BSV,214,F,R,1997,1,1997-12-12,0,0,45.1,0.15,0,4,0.08
BSV,214,F,R,1999,2,1999-04-20,0,0,61.3,1.42,0,1,0.20909090909090908
BSV,214,F,R,1998,2,1998-06-23,0,0,79.5,0.0,0,5,0.36507936507936506
BSV,214,F,R,1998,3,1998-10-26,0,0,65.3,0.08,4,6,0.5158730158730159
BSV,214,F,R,1997,1,1998-02-02,0,0,49.3,2.67,0,5,0.4126984126984127
BSV,214,F,R,1999,2,1999-03-22,2,1,61.0,0.0,2,4,0.8
BSV,214,F,R,1999,2,1999-06-28,0,0,84.0,0.22,0,2,0.4
BSV,214,F,R,1999,1,1999-11-10,0,0,57.7,0.0,0,2,0.35454545454545455
BSV,214,F,R,1997,1,1997-11-17,1,1,55.0,0.21,1,4,0.3485714285714286
BSV,214,F,R,1998,2,1998-03-05,0,0,56.8,0.63,1,6,0.3253968253968254
BSV,214,F,R,1998,3,1998-07-27,0,0,89.6,2.09,0,3,0.4444444444444444
BSV,214,F,R,1997,2,1997-06-06,0,0,84.2,0.0,0,1,0.22857142857142856
BSV,214,F,R,1998,2,1998-06-02,0,0,79.5,0.0,0,2,0.29365079365079366
