site,tortid,sex,year,quarter,status,temperature,rainfall,local_tort_density,local_burrow_density,std_homerange,survey_rate,survey_freq,tort_survey,burrow_count,logistic_count
BSV,217,J,1997,2,C,73.5,0.035000000000000003,0.40000000000000002,2.2000000000000002,0.016499158227671104,0.59999999999999998,0.082480781457719199,0.0684931506849315,2,1
BSV,217,J,1997,3,R,81.025000000000006,0.33499999999999996,0.75,3.25,0.16970893620038793,0.75409836065573776,0.071366997867610388,0.08602150537634409,2,1
BSV,217,J,1998,1,R,52.700000000000003,0.070000000000000007,0.0,1.6000000000000001,0.0,0.12068965517241378,0.16905766526019689,0.3333333333333333,2,1
BSV,217,J,1998,2,R,66.775000000000006,0.40500000000000003,0.0,2.0,0.29787377142963284,0.66386554621848737,0.12378691983122363,0.05,2,1
BSV,217,J,1998,3,R,81.25,0.90499999999999992,0.1111111111111111,3.2222222222222223,0.072886151061524074,0.61016949152542377,0.11508005317611701,0.2465753424657534,7,1
BSV,217,J,1999,1,NA,52.850000000000001,0.0,nan,nan,NA,0.1111111111111111,0.085443037974683542,0.0,0,0
BSV,217,J,1999,2,R,70.474999999999994,0.40999999999999998,0.0,1.3125,0.063795602713184144,0.52500000000000002,0.104628164556962,0.25,5,1
BSV,217,J,1999,3,NA,83.424999999999997,0.20250000000000001,nan,nan,NA,0.38181818181818183,0.097144539299381855,0.0,0,0
BSV,214,F,1996,1,NA,52.299999999999997,0.56499999999999995,nan,nan,NA,0.11235955056179775,0.036440352896049098,0.0,0,0
BSV,214,F,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,214,F,1996,3,C,83.275000000000006,0.69499999999999995,0.0,2.0,0.0,0.34745762711864409,0.02883263009845289,0.023809523809523808,1,0
BSV,214,F,1997,1,R,50.049999999999997,0.17999999999999999,0.66666666666666663,4.666666666666667,0.0014999999999645297,0.28813559322033899,0.093791440626883674,0.17142857142857143,3,1
BSV,214,F,1997,2,R,73.5,0.035000000000000003,0.083333333333333329,1.9166666666666667,0.067781649819337444,0.59999999999999998,0.082480781457719199,0.1643835616438356,6,1
BSV,214,F,1997,3,R,81.025000000000006,0.33499999999999996,0.076923076923076927,3.0,0.13974257925696695,0.75409836065573776,0.071366997867610388,0.13978494623655913,4,1
BSV,214,F,1998,1,R,52.700000000000003,0.070000000000000007,4.0,5.0,0.023853909469110247,0.12068965517241378,0.16905766526019689,0.3333333333333333,4,1
BSV,214,F,1998,2,R,66.775000000000006,0.40500000000000003,0.23529411764705882,3.0588235294117645,0.09269811297245667,0.66386554621848737,0.12378691983122363,0.2125,6,1
BSV,214,F,1998,3,R,81.25,0.90499999999999992,0.55555555555555558,2.8333333333333335,0.17573749447684037,0.61016949152542377,0.11508005317611701,0.2465753424657534,9,1
BSV,214,F,1999,1,R,52.850000000000001,0.0,0.0,2.0,0.0,0.1111111111111111,0.085443037974683542,0.5,1,0
BSV,214,F,1999,2,R,70.474999999999994,0.40999999999999998,0.76470588235294112,2.0588235294117645,0.16587134230011422,0.52500000000000002,0.104628164556962,0.265625,4,1
BSV,214,F,1999,3,R,83.424999999999997,0.20250000000000001,0.0,1.6666666666666667,0.015499231597331287,0.38181818181818183,0.097144539299381855,0.3488372093023256,2,1
BSV,215,F,1996,1,C,52.299999999999997,0.56499999999999995,0.0,1.3333333333333333,0.0,0.11235955056179775,0.036440352896049098,0.2727272727272727,2,1
BSV,215,F,1996,2,NA,82.450000000000003,0.089999999999999997,nan,nan,NA,0.53846153846153844,0.025316455696202535,0.0,0,0
BSV,215,F,1996,3,C,83.275000000000006,0.69499999999999995,0.0,1.0,0.0,0.34745762711864409,0.02883263009845289,0.047619047619047616,2,1
BSV,215,F,1997,1,NA,50.049999999999997,0.17999999999999999,nan,nan,NA,0.28813559322033899,0.093791440626883674,0.0,0,0
